English,Japan
"If you're not making mistakes, then you're not making decisions.",間違いを犯していないのであれば、決断を下しているわけではありません。
The critical ingredient is getting off your butt and doing something.,重要なのは、腰を据えて何かをすることです。
The man who moves a mountain begins by carrying away small stones.,山を動かす人は、小さな石を運び去ることから始めます。
The only way to do great work is to love what you do.,素晴らしい仕事をする唯一の方法は、自分のやっていることを愛することです。
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work.",仕事はあなたの人生の大部分を占めることになりますが、本当に満足する唯一の方法は、素晴らしい仕事だと信じることをすることです。
"The biggest risk is not taking any risk. In a world that is changing quickly, the only strategy that is guaranteed to fail is not taking risks.",最大のリスクはリスクを取らないことです。急速に変化する世界において、失敗が確実な唯一の戦略は、リスクをとらないことです。
Ideas are easy. Implementation is hard.,アイデアは簡単です。実装は難しいです。
The value of an idea lies in the using of it.,アイデアの価値は、それを活用することにあります。
The most dangerous poison is the feeling of achievement. The antidote is to every evening think what can be done better tomorrow.,最も危険な毒は達成感です。解毒剤は、明日は何ができるかを毎晩考えることです。
Your most unhappy customers are your greatest source of learning.,最も不幸な顧客は、最大の学習源です。
Success is not about ideas. It's about making ideas happen.,成功とはアイデアではありません。それはアイデアを実現することです。
"Stay hungry, stay foolish.",渇望する愚か者であれ。
The best startups generally come from somebody needing to scratch an itch.,最高のスタートアップは通常、かゆいところを掻く必要のある誰かから生まれます。
It's not about ideas. It's about making ideas happen.,それはアイデアの問題ではありません。それはアイデアを実現することです。
"If you can't explain it simply, you don't understand it well enough.",簡単に説明できない場合は、十分に理解していないことになります。
The key to success is to start before you're ready.,成功の鍵は、準備が整う前に始めることです。
"Chase the vision, not the money. The money will end up following you.",お金ではなくビジョンを追い求めてください。お金は結局あなたを追ってくるでしょう。
A business that makes nothing but money is a poor business.,金だけを稼ぐビジネスは貧しいビジネスです。
"If you're not making mistakes, then you're not making decisions.",間違いを犯していないのであれば、決断を下しているわけではありません。
The critical ingredient is getting off your butt and doing something.,重要なのは、腰を据えて何かをすることです。
The man who moves a mountain begins by carrying away small stones.,山を動かす人は、小さな石を運び去ることから始めます。
Embrace failure as an opportunity to learn and grow.,失敗を学び、成長する機会として受け入れましょう。
Practice gratitude and appreciate the little things in life.,感謝の気持ちを持ち、人生の小さなことに感謝しましょう。
Take care of your physical and mental health.,身体的、精神的な健康に気をつけてください。
Be kind to others and treat them with respect and empathy.,他人に親切にし、敬意と共感を持って接しましょう。
Don't be afraid to take risks and step out of your comfort zone.,リスクを恐れず、自分の快適ゾーンから一歩踏み出してください。
Learn from your mistakes and use them as stepping stones to success.,失敗から学び、成功への足がかりとして活用してください。
Surround yourself with positive and supportive people.,ポジティブで協力的な人々に囲まれてください。
Focus on the present moment and practice mindfulness.,今この瞬間に集中し、マインドフルネスを実践しましょう。
Take time for self-reflection and personal growth.,内省と個人的な成長のために時間をかけてください。
Invest in meaningful relationships and nurture them.,有意義な関係に投資し、それを育みます。
Set goals and work towards them with determination and perseverance.,目標を設定し、決意と忍耐力を持ってそれに向かって取り組みます。
Choose experiences over material possessions.,物質的な所有物よりも経験を選択してください。
Be open-minded and embrace new perspectives and ideas.,心をオープンにして、新しい視点やアイデアを受け入れてください。
Practice self-care and prioritize your well-being.,セルフケアを実践し、自分の健康を優先しましょう。
Forgive others and let go of grudges for your own peace of mind.,他人を許し、自分自身の心の平安のために恨みを手放してください。
Learn to say 'no' and set healthy boundaries.,「ノー」と言う方法を学び、健全な境界線を設定しましょう。
Take responsibility for your actions and choices.,自分の行動と選択に責任を持ちましょう。
Learn to adapt and embrace change.,変化に適応し、受け入れることを学びましょう。
Seek opportunities for lifelong learning and personal development.,生涯学習と自己啓発の機会を求めてください。
Value experiences and moments over material possessions.,物質的な所有物よりも経験や瞬間を大切にします。
Be true to yourself and follow your passions and dreams.,自分自身に忠実であり、自分の情熱と夢を追ってください。
Practice patience and resilience in the face of challenges.,困難に直面したとき、忍耐力と回復力を練習してください。
Learn to manage your time effectively and prioritize what matters most.,時間を効果的に管理し、最も重要なことを優先する方法を学びましょう。
"Celebrate your successes, no matter how small.",どんなに小さなことでも、成功を祝いましょう。
Embrace diversity and appreciate different cultures and perspectives.,多様性を受け入れ、異なる文化や視点を尊重します。
Practice forgiveness and let go of past hurts.,許しを実践し、過去の傷を手放してください。
Be curious and never stop learning.,好奇心を持ち、学ぶことをやめないでください。
"Find balance in all areas of your life: work, relationships, and leisure.",仕事、人間関係、レジャーなど、人生のあらゆる分野でバランスを見つけてください。
Take care of the environment and be mindful of your ecological footprint.,環境を大切にし、生態学的フットプリントに留意してください。
Practice active listening and seek to understand before being understood.,積極的な傾聴を実践し、理解される前に理解しようと努めます。
"Live in the present moment and cherish the journey, not just the destination.",今この瞬間を生き、目的地だけでなく旅を大切にしてください。
Don't compare yourself to others; focus on your own growth and progress.,自分を他人と比較しないでください。自分自身の成長と進歩に集中してください。
Be resilient and bounce back from setbacks with a positive mindset.,前向きな考え方で、立ち直り、挫折から立ち直りましょう。
Practice self-compassion and be kind to yourself.,セルフコンパッションを実践し、自分に優しくしましょう。
Invest in your own personal happiness and fulfillment.,あなた自身の個人的な幸福と充実感に投資してください。
Learn to let go of things you cannot control.,自分でコントロールできないものを手放すことを学びましょう。
"Be authentic and true to yourself, even if it means standing alone.",たとえそれが孤立することを意味するとしても、自分自身に誠実であり続けてください。
Take time to disconnect from technology and be present in the real world.,時間をかけてテクノロジーから離れ、現実世界に存在してください。
"Learn to manage your emotions and respond, not react, to challenging situations.",自分の感情をコントロールし、困難な状況に反応するのではなく反応する方法を学びましょう。
Value experiences and memories over material possessions.,物質的な所有物よりも経験や思い出を大切にします。
Practice gratitude and find joy in the little things.,感謝の気持ちを持ち、小さなことに喜びを見つけましょう。
Take risks and embrace the unknown; that's where growth happens.,リスクを負い、未知のものを受け入れてください。そこで成長が起こります。
"Be mindful of your words and actions, as they have the power to impact others.",自分の言葉や行動には他人に影響を与える力があるので、気をつけてください。
Embrace change and see it as an opportunity for growth.,変化を受け入れ、それを成長の機会として捉えてください。
Take care of your mental health and seek help when needed.,自分の精神的健康に気を付け、必要に応じて助けを求めてください。
Practice self-reflection and introspection to understand yourself better.,自分自身をよりよく理解するために、内省と内省を練習してください。
Find your passion and pursue it wholeheartedly.,自分の情熱を見つけて、それを心から追求してください。
Learn to let go of expectations and go with the flow.,期待を手放し、流れに身を任せることを学びましょう。
Be adaptable and open to new ideas and perspectives.,適応力を持ち、新しいアイデアや視点を受け入れてください。
Invest in experiences that bring you joy and fulfillment.,喜びと充実感をもたらす経験に投資してください。
Practice gratitude and focus on the positive aspects of your life.,感謝の気持ちを持ち、人生のポジティブな側面に焦点を当てましょう。
Value quality over quantity in all areas of your life.,生活のあらゆる分野において、量よりも質を大切にしましょう。
Live in alignment with your values and principles.,自分の価値観と原則に従って生きてください。
Learn to forgive yourself and let go of past mistakes.,自分を許し、過去の間違いを手放すことを学びましょう。
Take time for self-care and prioritize your well-being.,セルフケアに時間をかけて、自分の健康を優先しましょう。
Find beauty in the ordinary and appreciate the present moment.,日常の中に美しさを見出し、今この瞬間を大切にしましょう。
Be kind and compassionate towards yourself and others.,自分自身に対しても他人に対しても優しく、思いやりを持ちましょう。
Seek experiences that challenge and inspire you.,自分に挑戦し、インスピレーションを与える経験を求めてください。
Learn to embrace solitude and enjoy your own company.,孤独を受け入れ、自分との付き合いを楽しむことを学びましょう。
Practice patience and trust the process of life.,忍耐を実践し、人生のプロセスを信頼してください。
Celebrate the successes and achievements of others.,他人の成功や功績を祝いましょう。
Learn to accept and love yourself unconditionally.,自分自身を無条件に受け入れて愛することを学びましょう。
Be open to feedback and continuous self-improvement.,フィードバックと継続的な自己改善をオープンに受け入れてください。
Value experiences and relationships over material possessions.,物質的な所有物よりも経験や人間関係を大切にします。
